Date caught,Net location ,Net soak time (h),Net entanglement side (east or west),Water depth (m),Sea surface temperature (degrees C),Species,TagID,Necropsy ID,Total mass (kg),Disc width (cm),Disc length (cm),Sex,Maturity,Stage,Gravid,Embryo mass (kg),Relative embryo mass (%),Clasper calcification,Clasper length inner (mm),Clasper length outer (mm),Liver mass (kg),H_S_I,Stomach full mass (g),Stomach empty mass (g) ,Stomach contents mass (g),Gross stomach contents,Spiral valve mass (g),Uteri diameter (mm) ,Uteri length (mm),No. of yolk follicles left ovary,Smallest yolk follicle,MOD,Ovary weight left (g),Oviductal gland left width (mm),Retain ovaries?,Testes weight left (g),Testes weight right (g),Epigonal mass left (g),Epigonal mass right (g),Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2017,Lennox,71.77,NA,9.8,24.9,Mobula eregoodootenkee,Mobere-170317-1-sk,Me1_,21.5,115.00,71.00,Female,Adult,Gravid,Yes,0.0079,0.036744186,NA,NA,NA,0.957,4.5,186,145,41,"Highly digested, lots of parasites",255,69,121.2,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2017,,,,,,Mobula eregoodootenkee,NA,Me1_embryo,0.0079,8.50,6.00,NA,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/0/2017,Sharpes,19.63,East,10.0,23.6,Mobula eregoodootenkee,Manbir1-170217-1,Me2,22,117.50,71.00,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.841,3.8,191,172,19,"Highly digested, no parasites",NA,69,110,NA,5.2,22.7,NA,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/2017,Lighthouse,22.63,East,9.9,24.9,Mobula eregoodootenkee,Manbir-22217-1-sk,Me3,16.5,109.00,65.00,Male,Adult,Adult,NA,NA,NA,NA,110,NA,0.626,3.8,148,122,26,Highly digested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2017,Evans Head,19.58,NA,9.2,22.7,Mobula eregoodootenkee,Manbir-21217-1-sk,Me4,19.4,116.50,70.50,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.689,3.6,216,173,43,Highly digested,NA,85,115,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2017,Evans Head,9.32,East,7.5,25.1,Mobula eregoodootenkee,Mobere-240317-1-sk,Me5,22.5,118.50,69.50,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,1.096,4.9,364,165,199,Small fishes (Whitebait),NA,64,105,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,Lennox,23.20,West,7.0,21.0,Mobula eregoodootenkee,MOB5270417EVANS,Me6,15.9,111.00,65.10,Female,Adult,Gravid,Yes,0.0715,0.449685535,NA,NA,NA,0.487,3.1,251,128,123,TBA,NA,69.3,122.1,17,3.6,8.79,NA,11.22,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,,,,,,Mobula eregoodootenkee,NA,Me6_embryo,0.0715,15.70,9.90,Female,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2017,Evans Head,21.48,East,9.0,22.2,Mobula eregoodootenkee,Mobere-160417,Me7,18,116.00,71.00,Female,Adult,Gravid,Yes,0.0824,0.457777778,NA,NA,NA,0.433,2.4,226,161,65,TBA,NA,73.6,124.4,40,4.7,15.8,NA,13.7,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2017,,,,,,Mobula eregoodootenkee,NA,Me7_embryo,0.0824,16.00,10.40,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,Evans Head,23.82,West,7.0,21.0,Mobula eregoodootenkee,MOB3270417EVANS,Me8,18.1,111.50,65.00,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.928,5.1,298,129,169,TBA,NA,27.5,80.6,23,5.8,14.52,37,10.68,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,Evans Head,23.88,West,7.0,22.3,Mobula eregoodootenkee,MOB1260417EVANSHEAD,Me9,17.8,111.00,64.00,Female,Adult,Gravid,Yes,0.118,0.662921348,NA,NA,NA,0.554,3.1,436,200,236,TBA,NA,74.5,134,31,5.1,10.03,NA,13,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,,,,,,Mobula eregoodootenkee,NA,Me9_embryo,0.118,18.60,12.20,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,Evans Head,23.88,West,7.0,22.3,Mobula eregoodootenkee,MOB5260417EVANSHEAD,Me10,24.8,113.60,68.00,Female,Adult,Gravid,Yes,0.0614,0.247580645,NA,NA,NA,0.878,3.5,197,170,27,TBA,NA,79,122.1,30,10.01,30,NA,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
